EnsemblGeneID	Description	ChromosomeName	AssociatedGeneName	GCcontent	GeneType
ENSG00000221300	Small nucleolar RNA SNORD75 [Source:RFAM;Acc:RF00612]	2	SNORD75	41.67	snoRNA
ENSG00000275355	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	18	Metazoa_SRP	60.75	misc_RNA
ENSG00000277604	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	46.32	misc_RNA
ENSG00000201207	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	42.98	misc_RNA
ENSG00000199224	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	42.57	misc_RNA
ENSG00000252727	Small Cajal body specific RNA 11 [Source:RFAM;Acc:RF00564]	12	SCARNA11	56.82	scaRNA
ENSG00000221093	Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]	8	SNORA3	53.15	snoRNA
ENSG00000207176	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	42.86	misc_RNA
ENSG00000206828	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	1	U1	45.12	snRNA
ENSG00000280567	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	22	Metazoa_SRP	54.92	misc_RNA
ENSG00000199567	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	38.89	misc_RNA
ENSG00000252577	small Cajal body-specific RNA 20 [Source:HGNC Symbol;Acc:HGNC:32578]	17	SCARNA20	61.07	scaRNA
ENSG00000251715	Small nucleolar RNA SNORA68 [Source:RFAM;Acc:RF00263]	13	SNORA68	40.96	snoRNA
ENSG00000252655	Y RNA [Source:RFAM;Acc:RF00019]	14	Y_RNA	41.44	misc_RNA
ENSG00000206780	Small nucleolar RNA SNORA75 [Source:RFAM;Acc:RF00072]	4	SNORA75	39.42	snoRNA
ENSG00000274535	Small nucleolar RNA SNORD55/SNORD39 [Source:RFAM;Acc:RF00157]	4	SNORD39	44.87	snoRNA
ENSG00000238724	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	11	snoU13	40.38	snoRNA
ENSG00000207098	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	21	SNORA70	53.33	snoRNA
ENSG00000278007	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	19	Metazoa_SRP	53.53	misc_RNA
ENSG00000199856	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	18	U3	46.76	snoRNA
ENSG00000274660	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	10	Metazoa_SRP	51.11	misc_RNA
ENSG00000252098	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	39.42	misc_RNA
ENSG00000212411	Small nucleolar RNA SNORD115 [Source:RFAM;Acc:RF00105]	10	SNORD115	38.16	snoRNA
ENSG00000277308	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	10	Metazoa_SRP	55.6	misc_RNA
ENSG00000206676	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	38.83	misc_RNA
ENSG00000278374	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	8	U4	42.52	snRNA
ENSG00000251792	Y RNA [Source:RFAM;Acc:RF00019]	14	Y_RNA	39.22	misc_RNA
ENSG00000252290	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	1	SNORA25	36.36	snoRNA
ENSG00000201563	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	42.31	misc_RNA
ENSG00000281863	Small nucleolar RNA SNORA43 [Source:RFAM;Acc:RF00416]	3	SNORA43	47.1	snoRNA
ENSG00000202517	Small nucleolar RNA SNORA64/SNORA10 family [Source:RFAM;Acc:RF00264]	3	SNORA64	52.99	snoRNA
ENSG00000206849	Small nucleolar RNA SNORA18 [Source:RFAM;Acc:RF00425]	15	SNORA18	42.42	snoRNA
ENSG00000274742	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	10	Metazoa_SRP	54.96	misc_RNA
ENSG00000197334	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	8	Metazoa_SRP	53.53	misc_RNA
ENSG00000206813	Y RNA [Source:RFAM;Acc:RF00019]	22	Y_RNA	40.2	misc_RNA
ENSG00000200237	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	19	SNORA70	46.81	snoRNA
ENSG00000206781	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	40.35	misc_RNA
ENSG00000277578	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	52.35	misc_RNA
ENSG00000202414	Y RNA [Source:RFAM;Acc:RF00019]	20	Y_RNA	43.56	misc_RNA
ENSG00000278700	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	16	Metazoa_SRP	54.82	misc_RNA
ENSG00000212565	Small nucleolar RNA SNORA68 [Source:RFAM;Acc:RF00263]	17	SNORA68	47.66	snoRNA
ENSG00000273744	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	6	U4	39.08	snRNA
ENSG00000280796	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	9	Clostridiales-1	40.14	sRNA
ENSG00000238503	Small nucleolar RNA SNORD18 [Source:RFAM;Acc:RF00093]	2	SNORD18	37.14	snoRNA
ENSG00000202542	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	45.61	misc_RNA
ENSG00000207363	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	44.12	misc_RNA
ENSG00000201228	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	44.12	misc_RNA
ENSG00000207416	Y RNA [Source:RFAM;Acc:RF00019]	21	Y_RNA	37.17	misc_RNA
ENSG00000273788	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	X	U3	45.37	snoRNA
ENSG00000238813	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	41.35	misc_RNA
ENSG00000277233	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	52.45	misc_RNA
ENSG00000274647	Deleted in lymphocytic leukemia 2 conserved region 6 [Source:RFAM;Acc:RF02110]	12	DLEU2_6	49.11	misc_RNA
ENSG00000277413	TUC338 [Source:RFAM;Acc:RF02271]	15	uc_338	56.71	misc_RNA
ENSG00000278625	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	KI270744.1	U6	35.85	snRNA
ENSG00000252682	Small nucleolar RNA SNORD59 [Source:RFAM;Acc:RF00273]	1	SNORD59	47.06	snoRNA
ENSG00000199901	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	43.14	misc_RNA
ENSG00000277777	Y RNA [Source:RFAM;Acc:RF00019]	21	Y_RNA	38.61	misc_RNA
ENSG00000252425	Small nucleolar RNA SNORA18 [Source:RFAM;Acc:RF00425]	15	SNORA18	35.64	snoRNA
ENSG00000239080	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	X	snoU13	45.19	snoRNA
ENSG00000201867	Y RNA [Source:RFAM;Acc:RF00019]	11	Y_RNA	44.12	misc_RNA
ENSG00000206905	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	44.23	misc_RNA
ENSG00000281373	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	35.79	misc_RNA
ENSG00000207161	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	43.24	misc_RNA
ENSG00000207207	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	44.25	misc_RNA
ENSG00000275987	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	KI270713.1	U1	52.78	snRNA
ENSG00000277049	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	9	5S_rRNA	55.93	rRNA
ENSG00000199470	Small nucleolar RNA SNORA64/SNORA10 family [Source:RFAM;Acc:RF00264]	7	SNORA64	48.48	snoRNA
ENSG00000277794	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	55.31	misc_RNA
ENSG00000201680	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	40.2	misc_RNA
ENSG00000252199	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	21	SNORA70	49.47	snoRNA
ENSG00000207488	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	44.9	misc_RNA
ENSG00000199392	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	18	SNORA25	42.52	snoRNA
ENSG00000274484	Y RNA [Source:RFAM;Acc:RF00019]	21	Y_RNA	38.61	misc_RNA
ENSG00000252138	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	16	SNORA40	38.74	snoRNA
ENSG00000202434	Small nucleolar RNA SNORA4 [Source:RFAM;Acc:RF00394]	2	SNORA4	37.96	snoRNA
ENSG00000251735	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	14	SNORA25	37.1	snoRNA
ENSG00000252158	Small nucleolar RNA SNORA72 [Source:RFAM;Acc:RF00139]	8	SNORA72	31.91	snoRNA
ENSG00000201945	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	12	SNORA70	56.06	snoRNA
ENSG00000221125	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	19	U3	50.94	snoRNA
ENSG00000201340	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	43.59	misc_RNA
ENSG00000212455	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	2	SNORA40	33.59	snoRNA
ENSG00000238723	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	40.2	misc_RNA
ENSG00000222394	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	42.2	misc_RNA
ENSG00000272015	Small nucleolar RNA SNORA62/SNORA6 family [Source:RFAM;Acc:RF00091]	21	SNORA62	43.37	snoRNA
ENSG00000200309	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	37.89	misc_RNA
ENSG00000281735	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	10	Clostridiales-1	49.38	sRNA
ENSG00000202309	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	42.16	misc_RNA
ENSG00000281381	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	2	U6	34.65	snRNA
ENSG00000201025	Small nucleolar RNA SNORD74 [Source:RFAM;Acc:RF00284]	21	SNORD74	42.47	snoRNA
ENSG00000207410	Small nucleolar RNA SNORA8 [Source:RFAM;Acc:RF00393]	17	SNORA8	39.57	snoRNA
ENSG00000251811	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	45	misc_RNA
ENSG00000252505	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	8	SNORA70	52.04	snoRNA
ENSG00000277628	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	2	Metazoa_SRP	55.34	misc_RNA
ENSG00000273730	RNA, 5.8S ribosomal 5 [Source:HGNC Symbol;Acc:HGNC:37660]	GL000220.1	RNA5-8S5	57.52	rRNA
ENSG00000278815	Vault RNA [Source:RFAM;Acc:RF00006]	5	Vault	56.44	misc_RNA
ENSG00000252607	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	40.68	misc_RNA
ENSG00000278757	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	1	U6	39.42	snRNA
ENSG00000238926	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	40.59	misc_RNA
ENSG00000199862	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	38.94	misc_RNA
ENSG00000251778	Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]	21	SNORA3	41.67	snoRNA
ENSG00000222579	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	37.89	misc_RNA
ENSG00000200059	Y RNA [Source:RFAM;Acc:RF00019]	16	Y_RNA	46	misc_RNA
ENSG00000280791	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	1	Metazoa_SRP	47.31	misc_RNA
ENSG00000200063	Small nucleolar RNA SNORA30/SNORA37 family [Source:RFAM;Acc:RF00415]	17	SNORA30	59.69	snoRNA
ENSG00000212402	Small nucleolar RNA SNORA74 [Source:RFAM;Acc:RF00090]	5	SNORA74	54.73	snoRNA
ENSG00000252249	Small nucleolar RNA SNORA18 [Source:RFAM;Acc:RF00425]	6	SNORA18	41.13	snoRNA
ENSG00000273886	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	53.51	misc_RNA
ENSG00000220986	Small nucleolar RNA SNORA50 [Source:RFAM;Acc:RF00407]	5	SNORA50	62.69	snoRNA
ENSG00000199666	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	1	U3	48.37	snoRNA
ENSG00000207512	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	42.16	misc_RNA
ENSG00000277313	7SK RNA [Source:RFAM;Acc:RF00100]	1	7SK	41.6	misc_RNA
ENSG00000200291	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	45.1	misc_RNA
ENSG00000206927	Y RNA [Source:RFAM;Acc:RF00019]	16	Y_RNA	46	misc_RNA
ENSG00000221719	Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]	16	SNORA3	50.4	snoRNA
ENSG00000207473	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	41.59	misc_RNA
ENSG00000238516	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	39.6	misc_RNA
ENSG00000207356	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	44.04	misc_RNA
ENSG00000252923	Small Cajal body specific RNA 16 [Source:RFAM;Acc:RF00424]	2	SCARNA16	45.9	scaRNA
ENSG00000281918	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	1	Metazoa_SRP	48.23	misc_RNA
ENSG00000199362	Y RNA [Source:RFAM;Acc:RF00019]	11	Y_RNA	44.12	misc_RNA
ENSG00000278294	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]	KI270442.1	5_8S_rRNA	51.32	rRNA
ENSG00000252112	Small nucleolar RNA SNORD63 [Source:RFAM;Acc:RF00154]	17	SNORD63	43.75	snoRNA
ENSG00000277455	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	5	Metazoa_SRP	54.34	misc_RNA
ENSG00000200857	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	41.59	misc_RNA
ENSG00000199781	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	36.36	misc_RNA
ENSG00000277118	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	3	Metazoa_SRP	54.55	misc_RNA
ENSG00000199466	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	40.2	misc_RNA
ENSG00000238426	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	44.12	misc_RNA
ENSG00000278785	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	49.8	misc_RNA
ENSG00000212445	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	16	SNORA48	46.67	snoRNA
ENSG00000207223	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	39.22	misc_RNA
ENSG00000238783	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	45.71	misc_RNA
ENSG00000207209	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	41.18	misc_RNA
ENSG00000199550	Y RNA [Source:RFAM;Acc:RF00019]	11	Y_RNA	46.02	misc_RNA
ENSG00000200209	Y RNA [Source:RFAM;Acc:RF00019]	19	Y_RNA	44.09	misc_RNA
ENSG00000206785	Small nucleolar RNA SNORA15 [Source:RFAM;Acc:RF00398]	7	SNORA15	36.3	snoRNA
ENSG00000252115	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	44.32	misc_RNA
ENSG00000207401	Y RNA [Source:RFAM;Acc:RF00019]	9	Y_RNA	41.18	misc_RNA
ENSG00000252192	Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]	12	SNORA9	46.51	snoRNA
ENSG00000201388	Small nucleolar RNA SNORA68 [Source:RFAM;Acc:RF00263]	19	SNORA68	49.62	snoRNA
ENSG00000200506	Y RNA [Source:RFAM;Acc:RF00019]	14	Y_RNA	41.18	misc_RNA
ENSG00000221420	small nucleolar RNA, H/ACA box 81 [Source:HGNC Symbol;Acc:HGNC:32667]	3	SNORA81	38.76	snoRNA
ENSG00000272025	Small nucleolar RNA SNORA74 [Source:RFAM;Acc:RF00090]	2	SNORA74	49.75	snoRNA
ENSG00000273768	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	1	U1	54.27	snRNA
ENSG00000206672	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	39.45	misc_RNA
ENSG00000252021	Y RNA [Source:RFAM;Acc:RF00019]	20	Y_RNA	49.53	misc_RNA
ENSG00000199331	Y RNA [Source:RFAM;Acc:RF00019]	9	Y_RNA	44.12	misc_RNA
ENSG00000277900	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	Metazoa_SRP	55.48	misc_RNA
ENSG00000274450	U6atac minor spliceosomal RNA [Source:RFAM;Acc:RF00619]	1	U6atac	42.74	snRNA
ENSG00000251866	Small Cajal body specific RNA 21 [Source:RFAM;Acc:RF00602]	1	SCARNA21	60.71	scaRNA
ENSG00000252660	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	43.14	misc_RNA
ENSG00000200118	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	47	misc_RNA
ENSG00000276680	Hydatidiform mole associated and imprinted conserved region 1 [Source:RFAM;Acc:RF02143]	6	HYMAI	54.62	misc_RNA
ENSG00000274686	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	10	Metazoa_SRP	53.73	misc_RNA
ENSG00000200049	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	45.54	misc_RNA
ENSG00000200485	Y RNA [Source:RFAM;Acc:RF00019]	11	Y_RNA	39.56	misc_RNA
ENSG00000206895	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	41.18	misc_RNA
ENSG00000206878	Small nucleolar RNA SNORA51 [Source:RFAM;Acc:RF00432]	1	SNORA51	47.2	snoRNA
ENSG00000281304	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	6	Metazoa_SRP	46.18	misc_RNA
ENSG00000276955	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	51.72	misc_RNA
ENSG00000278234	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	3	U2	35.71	snRNA
ENSG00000275268	U7 small nuclear RNA [Source:RFAM;Acc:RF00066]	X	U7	39.34	snRNA
ENSG00000274772	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	8	Metazoa_SRP	49.66	misc_RNA
ENSG00000238840	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	10	U8	39.1	snoRNA
ENSG00000275933	7SK RNA [Source:RFAM;Acc:RF00100]	1	7SK	42	misc_RNA
ENSG00000201036	Small nucleolar RNA SNORD113/SNORD114 family [Source:RFAM;Acc:RF00181]	14	SNORD113	38.2	snoRNA
ENSG00000212195	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	17	U3	43.37	snoRNA
ENSG00000201668	Y RNA [Source:RFAM;Acc:RF00019]	18	Y_RNA	42.86	misc_RNA
ENSG00000201987	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	42.16	misc_RNA
ENSG00000200754	Y RNA [Source:RFAM;Acc:RF00019]	21	Y_RNA	37.96	misc_RNA
ENSG00000201547	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	37.96	misc_RNA
ENSG00000202137	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	44.12	misc_RNA
ENSG00000252329	Small Cajal body specific RNA 16 [Source:RFAM;Acc:RF00424]	11	SCARNA16	44.77	scaRNA
ENSG00000274411	hsa-mir-6724-1 [Source:miRBase;Acc:MI0022559]	KI270733.1	hsa-mir-6724-1	83.7	miRNA
ENSG00000203411	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	56.04	misc_RNA
ENSG00000275146	Small nucleolar RNA U2-19 [Source:RFAM;Acc:RF00494]	11	snoU2_19	41.25	snoRNA
ENSG00000251898	small Cajal body-specific RNA 11 [Source:HGNC Symbol;Acc:HGNC:32568]	12	SCARNA11	51.47	scaRNA
ENSG00000252274	Small Cajal body specific RNA 24 [Source:RFAM;Acc:RF00422]	17	SCARNA24	31.39	scaRNA
ENSG00000275994	small nucleolar RNA, H/ACA box 24 [Source:HGNC Symbol;Acc:HGNC:32614]	4	SNORA24	45.04	snoRNA
ENSG00000200547	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	39.13	misc_RNA
ENSG00000238372	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	8	snoU13	48.57	snoRNA
ENSG00000251803	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	40.71	misc_RNA
ENSG00000200283	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	42.59	misc_RNA
ENSG00000206717	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	44.9	misc_RNA
ENSG00000275853	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	7	Metazoa_SRP	54.93	misc_RNA
ENSG00000212321	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	X	U3	44.55	snoRNA
ENSG00000222613	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	42.72	misc_RNA
ENSG00000201160	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	45.13	misc_RNA
ENSG00000275788	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	57.2	misc_RNA
ENSG00000281522	Y RNA [Source:RFAM;Acc:RF00019]	16	Y_RNA	42.02	misc_RNA
ENSG00000252210	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	40	misc_RNA
ENSG00000202389	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	17	SNORA70	51.85	snoRNA
ENSG00000274701	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	8	Metazoa_SRP	54.36	misc_RNA
ENSG00000273829	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	16	Metazoa_SRP	53.82	misc_RNA
ENSG00000252830	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	1	5S_rRNA	44.55	rRNA
ENSG00000252915	Y RNA [Source:RFAM;Acc:RF00019]	21	Y_RNA	40.22	misc_RNA
ENSG00000207034	Y RNA [Source:RFAM;Acc:RF00019]	18	Y_RNA	41.03	misc_RNA
ENSG00000221711	Small nucleolar RNA SNORD75 [Source:RFAM;Acc:RF00612]	4	SNORD75	34.48	snoRNA
ENSG00000212228	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	16	SNORA48	54.84	snoRNA
ENSG00000275291	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	1	U1	46.91	snRNA
ENSG00000206603	Small nucleolar RNA SNORA22 [Source:RFAM;Acc:RF00414]	7	SNORA22	40.58	snoRNA
ENSG00000199713	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	18	U8	40.3	snoRNA
ENSG00000275215	RNA, 5.8S ribosomal 5 [Source:HGNC Symbol;Acc:HGNC:37660]	21	RNA5-8S5	57.52	rRNA
ENSG00000202195	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	37.25	misc_RNA
ENSG00000212383	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	12	SNORA48	50.75	snoRNA
ENSG00000202385	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	42.5	misc_RNA
ENSG00000281355	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	39.77	misc_RNA
ENSG00000274301	microRNA 3179-1 [Source:HGNC Symbol;Acc:HGNC:38353]	16	MIR3179-1	44.05	miRNA
ENSG00000281212	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	2	Clostridiales-1	35	sRNA
ENSG00000212626	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	18	SNORA48	50.75	snoRNA
ENSG00000200536	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	1	SNORA25	37.9	snoRNA
ENSG00000212448	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	40.82	misc_RNA
ENSG00000222430	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	40	misc_RNA
ENSG00000281834	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	6	Metazoa_SRP	52.21	misc_RNA
ENSG00000207299	Small nucleolar RNA SNORD56 [Source:RFAM;Acc:RF00275]	11	SNORD56	45.07	snoRNA
ENSG00000275909	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	16	Metazoa_SRP	56.38	misc_RNA
ENSG00000200998	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	42.48	misc_RNA
ENSG00000202361	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	38.38	misc_RNA
ENSG00000277306	TUC338 [Source:RFAM;Acc:RF02271]	2	uc_338	43.32	misc_RNA
ENSG00000207292	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	41.59	misc_RNA
ENSG00000207218	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	41.18	misc_RNA
ENSG00000206998	Y RNA [Source:RFAM;Acc:RF00019]	20	Y_RNA	42.16	misc_RNA
ENSG00000280845	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	17	Clostridiales-1	55.41	sRNA
ENSG00000207290	Y RNA [Source:RFAM;Acc:RF00019]	5	Y_RNA	40.35	misc_RNA
ENSG00000202100	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	42.2	misc_RNA
ENSG00000222881	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	38.32	misc_RNA
ENSG00000206898	Small nucleolar RNA SNORA51 [Source:RFAM;Acc:RF00432]	2	SNORA51	52.99	snoRNA
ENSG00000200714	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	41.11	misc_RNA
ENSG00000200208	Y RNA [Source:RFAM;Acc:RF00019]	20	Y_RNA	41.18	misc_RNA
ENSG00000252337	Small nucleolar RNA SNORA31 [Source:RFAM;Acc:RF00322]	5	SNORA31	40.29	snoRNA
ENSG00000252677	Small nucleolar RNA SNORA81 [Source:RFAM;Acc:RF01241]	18	SNORA81	43.53	snoRNA
ENSG00000202027	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	44.04	misc_RNA
ENSG00000280598	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	39.58	misc_RNA
ENSG00000252820	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	34.78	misc_RNA
ENSG00000239106	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	40.78	misc_RNA
ENSG00000200026	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	9	U8	45.52	snoRNA
ENSG00000276189	TP73 antisense RNA 1 conserved region [Source:RFAM;Acc:RF02197]	1	TP73-AS1	57.76	misc_RNA
ENSG00000276729	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	19	Metazoa_SRP	53.31	misc_RNA
ENSG00000238311	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	15	snoU13	42.31	snoRNA
